"證券代碼","公司名稱","年月日","調整開盤價","調整收盤價","成交張數","CAPM一年beta","隔日開盤價","後日開盤價","TSE產業別","open_price_daily_change","股價年標準差","Price_MA_20","Price_MA_60","Price_MA_120","Price_MA_252","CV股價離散程度","z_CV_price","上市別","年月","季別","合併.Y.N.","單季.Q..單半年.H.","月份","ROE","ROA","資產總額","權益總額","營業毛利","淨利","GPOA","營業毛利率","自由現金流量","CFOA","折舊","流動資產","流動負債","ACC應計項目","change_GPOA","change_營業毛利率","change_ROA","change_ROE","change_CFOA","change_ACC應計項目","負債總額","負債比率","MA_ROE","sigma_ROE","MA_ROA","sigma_ROA","z_ROA","z_ROE","z_GPOA","z_營業毛利率","z_CFOA","z_ACC","z_change_GPOA","z_change_ROE","z_change_ROA","z_change_營業毛利率","z_change_CFOA","z_change_ACC應計項目","z_sigma_ROE","z_sigma_ROA","z_負債比率","score_profit","score_growth","score_safety","年","時間標籤","total_score"
4162,"智擎",20220728,97.8,98.5,6419,0.7503,NA,NA,22,NA,13.2848690174878,92.6250000000001,83.2383333333331,82.6808333333334,70.86975515873,0.187454704587776,0.683486852347869,"OTC",202203,1,"Y",1,3,0.0240440749396879,0.0235753797950584,4115904,4035672,162491,97034,0.0394788119450794,93.32,-475,-0.000115405995863849,2132,4101188,80232,-0.976413444045342,0.0259198791014537,0.0137968495382943,0.329691914586413,0.298479482502623,-0.695336449890075,0.0259198791014537,80232,0.0194931660213649,0.0159794896908675,0.00701046128839241,0.0154542847979417,0.0069116767997158,0.48633281521523,0.0533454940515139,-0.0685879423745382,2.02426745646147,-0.0960940132191394,-3.40906645212476,0.0167026042898389,0.0255602270977569,0.0346267954194102,0.0281511907859488,0.0096473400833219,0.0167026042898389,-0.0710160442130845,-0.313864205372669,-2.25330051578158,0.968055043709884,0.0218984603276859,0.879393588455778,2022,2022-05-15,0.913549238024943
2480,"敦陽科",20220728,84.3,85.1,334,0.2961,NA,NA,30,NA,9.29123354858599,81.5299999999999,83.8165466666666,84.0995675,74.9593964285715,0.12395021826836,-0.00994799515058832,"TSE",202203,1,"Y",1,3,0.0699814643792639,0.0316081357135282,5770508,2606333,403917,182395,0.0699967836453914,25.66,629520,0.109092648342226,7815,4946825,3061640,-0.325338774333213,0.0350830306624796,-0.00426852929763288,0.271160307838815,0.244563363018301,0.346360506285625,0.0350830306624796,3164175,0.548335605808016,0.0557273733170666,0.0108976307183222,0.027020513073928,0.00309146735460833,0.822489709135181,0.260931782903908,0.836483908896081,0.0375866752620702,1.6441064014711,-0.239521071249973,0.0173849693982438,0.0222134953692305,0.0302254646412909,0.0243404889956202,0.0184868205081351,0.0173849693982438,-0.0613865220327336,-0.635111539242785,0.628006433109312,0.640186591486386,0.0216727013851274,0.0228305427220687,2022,2022-05-15,0.83574639929846
3441,"聯一光",20220728,40.15,38.95,1300,1.3697,NA,NA,26,NA,3.61620504170299,36.31353,34.043845,33.4044041666667,36.1172896825397,0.100123931598643,-0.270118235409948,"OTC",202203,1,"Y",1,3,0.0372210895318477,0.0247291310870174,1078566,716583,41562,26672,0.0385344985842313,35.45,-10061,-0.00932812641970913,5592,967229,315019,-0.599516394916955,-0.0393913078235741,0.202510176390774,14.8450305386721,15.7768187304827,-0.740073119862239,-0.0393913078235741,361983,0.335615066671859,0.0120219203014034,0.0175128102008497,0.0084186371313366,0.0116507156432539,0.534615304388006,0.112891053577448,-0.0965934549975685,0.325047580493258,-0.242896188197631,-1.57426568855274,0.0118389856047893,0.986346158310283,1.12611924182546,0.0679582836250672,0.00926772016013229,0.0118389856047893,-0.0449990146955113,0.084648916870735,-0.530964786810351,0.367888330636041,0.368894895855086,0.163771628211709,2022,2022-05-15,0.790022107249596
3038,"全台",20220728,21.4,21.5,5570,0.5961,NA,NA,26,NA,0.944603889430976,19.78498,18.571885,18.1476808333333,17.7205218253968,0.0533056474712377,-0.781348726287897,"TSE",202203,1,"Y",1,3,0.0383576474841808,0.0206863806267103,3713071,2002469,180470,76810,0.0486039722913998,17.56,177954,0.0479263660727199,15133,3091839,1154922,-0.51757265077883,0.00118613939144563,-0.0276854928017719,0.512517819548067,0.510606034853863,-1.7087853484826,0.00118613939144563,1710602,0.460697358062908,0.0289707600260072,0.00631741022420725,0.0160412059286652,0.00331658317385182,0.365433214029015,0.118027040847705,0.202037047021497,-0.200251254500199,0.669438457649584,-1.17534920814441,0.0148607226112402,0.0387275445903158,0.0483745349273175,0.0194009266670508,0.00104756291439825,0.0148607226112402,-0.0727329106154855,-0.616181201055025,0.15052453449605,0.388338952198668,0.0228786690535938,0.179463192391487,2022,2022-05-15,0.777203978185812
3090,"日電貿",20220728,47.95,47.85,778,0.7324,NA,NA,28,NA,1.77120898982698,44.7275000000001,47.6494633333333,48.3983075,48.0949170634919,0.0368273634298765,-0.961282728490258,"TSE",202203,1,"Y",1,3,0.0611948791225856,0.0340274212707093,9311020,5177394,593483,316830,0.0637398480510191,19.41,75419,0.00809997186129984,8172,7914209,3975803,-0.422105633969211,-0.0354027192278907,0.029708222811671,0.144061310608288,0.199846680665046,3.50080614644162,-0.0354027192278907,4133626,0.443949857265906,0.0461511758561937,0.0122172775419528,0.0269850885505393,0.00592231747701232,0.9237326109066,0.22122611727138,0.650921895231142,-0.145930245850792,0.0348157813058511,-0.710599070823579,0.0121360093603553,0.0194377996949602,0.0206681543355768,0.0315075277424071,0.0452543562314449,0.0121360093603553,-0.0581174161737153,-0.397060964405103,0.0592786608811718,0.399227538281293,0.0235233094541833,0.131966573232549,2022,2022-05-15,0.773811805617257
3705,"永信",20220728,41,40.75,325,0.1681,NA,NA,22,NA,0.464041746287248,40.5725,40.6572933333333,40.8470066666666,41.0005115079367,0.0113179501723392,-1.23983180615766,"TSE",202203,1,"Y",1,3,0.032279960151587,0.0187565464691685,12160181,7065777,924422,228083,0.0760204144987645,47.3,-259390,-0.0213310969631126,90624,6572991,3269218,-0.264235293866103,0.339473109774154,-0.0110809115617814,0.305939557284406,0.288964813880927,3.59012747969334,0.339473109774154,5094404,0.418941461479891,0.0306210585266532,0.00665816018934565,0.0170587056111166,0.00356556918163451,0.284673003864,0.090562603412969,1.01512680107025,0.672995662923245,-0.434160234093744,0.0579413601413947,0.0400524073367197,0.0249696236999752,0.0328407179980775,0.0229034885581444,0.0460123062015546,0.0400524073367197,-0.0718887849846372,-0.595243581712297,-0.0769752762800177,0.261876079505888,0.0344718251885319,0.248035880992317,2022,2022-05-15,0.771424407860732
6515,"穎崴",20220728,390,389,728,1.5981,NA,NA,24,NA,59.6115368162034,353.65,364.071066666667,372.535216666667,339.454063492064,0.175610025707049,0.55414932724747,"TSE",202112,4,"Y",1,12,0.0805813797119178,0.0599339206768878,3939205,2929858,458738,236092,0.116454462258248,48.57,69563,0.0176591469598561,28937,2891391,955019,-0.48421826231435,0.0318828239485693,0.115782219159201,0.220551240769247,0.208277371231355,-18.4350779642498,0.0318828239485693,1009347,0.256231143085978,0.0694737401390158,0.0183743247889479,0.0504224911938308,0.011593600688973,1.54482961051252,0.107953223255648,1.77439812062455,0.434838158962975,0.40818226170307,-0.990090514117191,-0.0293112738994983,-0.00419537960949417,-0.00519614321139209,0.0576000138826855,-0.142988691008242,-0.0293112738994983,-0.0543887969978585,-0.117534378542474,-0.956711924111141,0.87671531486266,-0.0255671246242398,0.376211699883825,2021,2022-03-31,0.750998071114399
2360,"致茂",20220728,154.5,156.5,794,0.9609,NA,NA,31,NA,16.8854647644791,146.06955,151.243616666666,162.786583333333,172.283785714286,0.0980095990720902,-0.293205609831607,"TSE",202203,1,"Y",1,3,0.0510095254570562,0.0281804523451253,31055889,17156972,2183896,875169,0.0703214775142969,49.66,3170490,0.102089816202009,157514,15835535,11247045,-0.142677480589913,-0.273661411579112,0.00812017864393022,0.55514964614605,0.65435422847443,1.21434061342366,-0.273661411579112,13898917,0.447545294871449,0.0339584842972001,0.0130494864187352,0.0194704889781443,0.00645107627033726,0.679047109091273,0.175199562565709,0.846113358844865,0.742291652335461,1.53251819061731,0.649706058573203,-0.00560673093504147,0.0476504167315164,0.0515802690760874,0.0269537567251009,0.0258521997776889,-0.00560673093504147,-0.0560558199448609,-0.352596817855872,0.0788677834208337,0.554243969146903,0.0234705300733851,0.1099282847933,2022,2022-05-15,0.749916689523689
3088,"艾訊",20220728,65.9,64.9,552,0.5988,NA,NA,25,NA,4.93518547301627,63.3700000000002,60.6833333333333,60.7825,56.4042801587302,0.0874966484658242,-0.408001378176968,"OTC",202203,1,"Y",1,3,0.0449794755417855,0.0251876792974762,5306126,2971333,491805,133649,0.0926862648945766,33.12,248337,0.0468019417556236,23491,3263293,1952785,-0.242553041522195,-0.247758650939765,-0.0965630114566285,1.62451781391021,1.85055062593424,0.250712754490477,-0.247758650939765,2334793,0.440018386295388,0.0291206579566602,0.0122308082974896,0.017115007722103,0.00643136609860541,0.553804751161304,0.147950393669156,1.50938612534188,0.256632472302383,0.651521064333144,0.163494357302196,-0.0036777941545094,0.121901836811773,0.131992259989264,0.00487193803995023,0.0176751867362802,-0.0036777941545094,-0.058083896999183,-0.35425427674915,0.0378587184285795,0.492633408250945,0.044847605544708,0.124826485106585,2022,2022-05-15,0.739508199702606
4105,"東洋",20220728,72,71.5,342,0.3689,NA,NA,22,NA,2.91268546326895,70.1625949999998,67.9985583333333,67.6740366666668,67.947958333333,0.0428664162207812,-0.895339518902941,"OTC",202203,1,"Y",1,3,0.0376725405929733,0.0245856913257166,9269538,6049446,650163,227898,0.0701397415922994,62.69,9044,0.000975668906044724,39485,4704339,2760480,-0.205444327430342,-0.194216021595132,-0.00712701932214133,0.157852757749338,0.170397725039832,-0.615759433648495,-0.194216021595132,3220092,0.347384303295375,0.0389555666975663,0.00535766294956111,0.0264972803376706,0.00495399738416087,0.528612599324773,0.114931114005802,0.840723614435248,1.12488772947156,-0.0787080336934773,0.344146068713485,0.000309439040719125,0.0176098166148439,0.0217052131854811,0.0237375205689428,0.0103226031463099,0.000309439040719125,-0.0751104523808578,-0.478488501986787,-0.466842128121767,0.364383492471736,0.0123323385995027,0.34014702749647,2022,2022-05-15,0.737611033651495
